Tag_ID,Tag_Name
46245,hurricane isabel (september 2003)
46246,hurricane isaias (august 2020)
46247,hurricane ivan (september 2004)
46248,hurricane jeanne (september 2004)
46249,hurricane juan (october 1985)
46250,hurricane katrina (august 2005)
46251,hurricane laura (august 2020)
46252,hurricane lili (october 2002)
46253,hurricane maria (september 2017)
46254,hurricane marilyn (september 1995)
46255,hurricane matthew (october 2016)
46256,hurricane michael (october 2018)
46257,hurricane nicholas (september 2021)
46258,hurricane opal (october 1995)
46259,hurricane rita (september 2005)
46260,hurricane sally (september 2020)
46261,hurricane sandy (october 2012)
46262,hurricane wilma (october 2005)
46263,hurricane zeta (october 2020)
46264,illinois flooding and severe weather (april 2013)
46265,louisiana flooding (august 2016)
46266,louisiana flooding and central severe weather (may 2021)
46267,michigan and northeast flooding (august 2014)
46268,midwest
46269,midwest and ohio valley severe weather (march 2020)
46270,midwest and southern flooding (july 2019)
46271,midwest drought (spring-summer 2005)
46272,midwest flooding (summer 1993)
46273,midwest flooding (summer 2008)
46274,midwest severe weather (august 2013)
46275,midwest severe weather (june 2017)
46276,midwest tornado outbreak (march 2017)
46277,midwest tornadoes (april 2006)
46278,midwest tornadoes (april 2012)
46279,midwest tornadoes and severe weather (may 2008)
46280,midwest/mid-atlantic severe weather (june 2008)
46281,midwest/northeast severe storms and flooding (july 2010)
46282,midwest/ohio valley hail and tornadoes (april 2001)
46283,midwest/ohio valley severe weather (april 2015)
46284,midwest/ohio valley severe weather (april-may 2012)
46285,midwest/plains severe weather (april 2013)
46286,midwest/plains severe weather (july 2003)
46287,midwest/plains tornadoes (april 1994)
46288,midwest/plains/east tornadoes (may 2013)
46289,midwest/plains/northeast tornadoes (may 2013)
46290,midwest/plains/southeast drought (spring-summer 2006)
46291,midwest/plains/southeast tornadoes (april 1982)
46292,midwest/southeast severe weather (august 2011)
46293,midwest/southeast tornadoes (april 2011)
46294,midwest/southeast tornadoes (april 6-8
46295,midwest/southeast tornadoes (march 2009)
46296,midwest/southeast tornadoes (may 2011)
46297,midwest/southeast tornadoes and severe weather (june 2011)
46298,midwest/southeast/northeast tornadoes and flooding (april 2014)
46299,midwest/southeast/northeast winter storm
46300,midwest/southeast/northeast winter storm (january 2014)
46301,minnesota hail storm and upper midwest severe weather (june 2017)
46302,minnesota severe storms/hail (may 1998)
